"recherche_id";"fetch_id";"test_NCT";"date_check_nct";"lot"
"35100279";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35100025";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35099783";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35099678";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35099638";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35099602";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35099543";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35099523";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35099501";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35099400";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35099283";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35098970";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35098347";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35098345";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35098333";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35098170";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35098120";TRUE;TRUE;"2022-02-04 22:54:59";"LOT_20220204225447"
"35096723";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35096709";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35096584";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35096250";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35096167";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35095783";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35095477";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35094747";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35094230";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
